Size (n*n),Runtime
982,0.011008977890014648
983,0.011075735092163086
984,0.011181116104125977
985,0.010383129119873047
986,0.010937690734863281
987,0.011048078536987305
988,0.011216878890991211
989,0.011004924774169922
990,0.011037826538085938
991,0.011138200759887695
992,0.011027097702026367
993,0.011402130126953125
994,0.01107025146484375
995,0.011385917663574219
996,0.011985063552856445
997,0.011440038681030273
998,0.011199951171875
999,0.011204957962036133
1000,0.011502981185913086
